<FileName>
"\XFiles\Wall.x"

<TextureSize>
128,128

<Location>
49
-340,-315,0,2,55,100,0
-340,-260,0,2,55,100,0
-340,-205,0,2,55,100,0
-340,-150,0,2,55,100,0
-340,-115,0,2,55,100,0
-340,315,0,2,55,100,0
-340,260,0,2,55,100,0
-340,205,0,2,55,100,0
-340,150,0,2,55,100,0
-340,105,0,2,55,100,0
-340,50,0,2,55,100,0
-340,18,0,2,55,100,0
-315,-340,0,2,55,100,1
-260,-340,0,2,55,100,1
-205,-340,0,2,55,100,1
-150,-340,0,2,55,100,1
-95,-340,0,2,55,100,1
-40,-340,0,2,55,100,1
15,-340,0,2,55,100,1
70,-340,0,2,55,100,1
125,-340,0,2,55,100,1
170,-340,0,2,55,100,1
225,-340,0,2,55,100,1
280,-340,0,2,55,100,1
314,-340,0,2,55,100,1
340,-315,0,2,55,100,0
340,-260,0,2,55,100,0
340,-205,0,2,55,100,0
340,-150,0,2,55,100,0
340,-115,0,2,55,100,0
340,315,0,2,55,100,0
340,260,0,2,55,100,0
340,205,0,2,55,100,0
340,150,0,2,55,100,0
340,105,0,2,55,100,0
340,50,0,2,55,100,0
340,18,0,2,55,100,0
-315,340,0,2,55,100,1
-260,340,0,2,55,100,1
-205,340,0,2,55,100,1
-150,340,0,2,55,100,1
-95,340,0,2,55,100,1
-40,340,0,2,55,100,1
15,340,0,2,55,100,1
70,340,0,2,55,100,1
125,340,0,2,55,100,1
170,340,0,2,55,100,1
225,340,0,2,55,100,1
280,340,0,2,55,100,1
314,340,0,2,55,100,1
